lon,lat,time
18.71068280000436,54.17789460000324,9.72
18.710675099995484,54.1778896999966,9.76
18.710667400004496,54.177884600003566,9.8
18.710659999995258,54.177879399996534,9.84
18.710652900004465,54.177874100003535,9.88
18.710646199995203,54.17786869999656,9.92
18.710639700004606,54.177863200003515,9.96
18.710633199995414,54.17785739999676,10.0
18.71062710000422,54.17785170000314,10.04
18.71062109999571,54.177846099996785,10.08
18.710615100004276,54.17784010000355,10.12
18.710609399995477,54.177833999996544,10.16
18.710604300003983,54.1778276000037,10.2
18.710599499995773,54.17782139999614,10.24
18.710594700004215,54.17781490000411,10.28
18.710590399995368,54.17780849999582,10.32
18.710586400004356,54.177801800004424,10.36
18.710582799995315,54.17779539999533,10.4
18.71057950000441,54.177788800004826,10.44
18.710576799995085,54.1777822999951,10.48
18.710574100004894,54.17777560000505,10.52
18.710571799994774,54.17776889999496,10.56
18.71056990000486,54.17776220000501,10.6
18.710568099995072,54.17775509999535,10.64
18.710566700004563,54.17774770000489,10.68
18.71056539999537,54.17774039999504,10.72
18.710564500004264,54.17773310000494,10.76
18.710563999995404,54.17772579999507,10.8
18.710563700004407,54.177718400005,10.84
18.710564099995,54.177711199994846,10.88
18.710564200005244,54.17770390000521,10.92
18.710564399994688,54.1776965999948,10.96
18.71056460000529,54.17768930000518,11.0
18.71056549999412,54.177681699995105,11.04
18.710566000006207,54.1776743000047,11.08
18.710566399993905,54.1776667999954,11.12
18.710566800006074,54.1776595000044,11.16
18.710567299993862,54.177652199995606,11.2
18.71056830000568,54.177644900004374,11.24
18.71056929999434,54.17763759999564,11.28
18.71057030000564,54.17763010000452,11.32
18.710571299994385,54.17762269999541,11.36
18.71057210000577,54.17761520000465,11.4
18.710572999994163,54.17760789999518,11.44
18.710574000005728,54.177600600004794,11.48
18.710574699994556,54.17759319999531,11.52
18.710575500005337,54.17758570000476,11.56
18.710576299994685,54.17757829999517,11.6
18.710576700005646,54.17757090000481,11.64
18.71057689999455,54.17756339999529,11.68
18.71057680000569,54.17755610000451,11.72
18.71057669999433,54.177548599995674,11.76
18.710576100006087,54.17754120000422,11.8
18.71057529999411,54.17753359999597,11.84
18.71057420000613,54.17752630000375,11.88
18.710573099993898,54.177518799996434,11.92
18.71057170000634,54.17751140000347,11.96
18.710569799994115,54.17750389999664,12.0
18.710567700006035,54.17749650000326,12.04
18.71056539999416,54.17748919999666,12.08
18.710562600006252,54.17748190000332,12.12
18.71055969999386,54.17747439999686,12.16
18.710556600006296,54.17746710000296,12.2
18.710553099994076,54.177459699997144,12.24
18.710549500005985,54.17745230000284,12.28
18.710545599994298,54.17744489999716,12.32
18.71054160000577,54.17743760000273,12.36
18.71053709999469,54.17743029999727,12.4
18.71053260000529,54.17742300000271,12.44
18.710527799994992,54.17741569999729,12.48
18.710522700005253,54.17740840000269,12.52
18.710517599994766,54.17740119999723,12.56
18.710512500005215,54.17739380000293,12.6
18.71050719999498,54.177386499996985,12.64
18.710501800005087,54.177379200003,12.68
18.710495999995278,54.1773717999971,12.72
18.710490200004703,54.17736460000272,12.76
18.710484399995313,54.177357299997375,12.8
18.710478500004754,54.17735000000261,12.84
18.710472299995523,54.17734259999749,12.88
18.71046620000437,54.17733530000242,12.92
18.71045989999582,54.17732779999777,12.96
18.710453600004165,54.177320500002054,13.0
18.710446999996112,54.177313099998045,13.04
18.710440400003872,54.17730580000186,13.08
18.710433999995967,54.177298499998145,13.12
18.710427400004193,54.17729110000193,13.16
18.710420999995648,54.17728369999807,13.2
18.710414300004597,54.17727640000183,13.24
18.710407699995333,54.17726909999817,13.28
18.710401000004737,54.177261600002,13.32
18.710394299995283,54.17725409999801,13.36
18.71038750000479,54.17724660000198,13.4
18.710380799995143,54.17723929999785,13.44
18.710374200004754,54.177232000002135,13.48
18.710367699995178,54.17722449999805,13.52
18.710361000004976,54.17721710000186,13.56
18.71035439999495,54.17720979999806,13.6
18.71034790000494,54.17720260000185,13.64
18.710341399995077,54.177195299998246,13.68
18.710335000004818,54.177188200001574,13.72
18.710328799995025,54.17718099999852,13.76
18.710322700004866,54.17717380000147,13.8
18.710316399995325,54.177166699998445,13.84
18.710310300004483,54.17715970000146,13.88
18.710304199995534,54.177152699998544,13.92
18.710298100004447,54.17714580000136,13.96
18.710292299995306,54.177138899998646,14.0
18.710286500004678,54.17713200000136,14.04
18.710280899995166,54.17712529999848,14.08
18.710275100004992,54.177118500001605,14.12
18.71026929999503,54.1771116999984,14.16
18.710263700004777,54.177104900001595,14.2
18.71025809999524,54.177098199998326,14.24
18.710252600004658,54.17709150000167,14.28
18.710247299995185,54.17708489999825,14.32
18.710242000004797,54.17707830000174,14.36
18.710236599995312,54.177071799998174,14.4
18.71023120000467,54.17706530000182,14.44
18.710225899995258,54.177058799998186,14.48
18.710220700004637,54.17705240000171,14.52
18.710215599995294,54.177045999998285,14.56
18.71021050000469,54.177039600001706,14.6
18.710205399995328,54.177033299998214,14.64
18.71020010000483,54.17702710000169,14.68
18.710194999995014,54.17702089999832,14.72
18.71018970000514,54.17701470000168,14.76
18.710184699994617,54.177008599998246,14.8
18.710179700005366,54.177002500001755,14.84
18.710174699994656,54.17699639999825,14.88
18.7101695000055,54.17699030000174,14.92
18.710164399994436,54.17698429999818,14.96
18.710159300005543,54.17697840000173,15.0
18.710154199994477,54.17697239999836,15.04
18.710149100005502,54.176966400001625,15.08
18.710143899994605,54.176960499998295,15.12
18.71013860000546,54.1769546000017,15.16
18.710133199994647,54.176948799998215,15.2
18.710127900005247,54.17694310000169,15.24
18.710122399994948,54.176937399998316,15.28
18.71011670000521,54.176931700001674,15.32
